domain,problowscore,status,sex
GrossMotor ,0.0983,one,f
FineMotorc ,0.1088,one,f
ProblemSol ,0.0811,one,f
Communicat ,0.1483,one,f
PersonalSo ,0.1457,one,f
GrossMotor ,0.9485,two,f
FineMotorc ,1,two,f
ProblemSol ,0.8282,two,f
Communicat ,0.595,two,f
PersonalSo ,0.6756,two,f
GrossMotor ,0.0059,three,f
FineMotorc ,0,three,f
ProblemSol ,0.0033,three,f
Communicat ,0.004,three,f
PersonalSo ,0.004,three,f
GrossMotor ,0.0209,one,m
FineMotorc ,0,one,m
ProblemSol ,0,one,m
Communicat ,0.4786,one,m
PersonalSo ,0.0979,one,m
GrossMotor ,0.2336,two,m
FineMotorc ,0.3253,two,m
ProblemSol ,0.1761,two,m
Communicat ,0.1128,two,m
PersonalSo ,0.2459,two,m
GrossMotor ,0.0029,three,m
FineMotorc ,0,three,m
ProblemSol ,0.0025,three,m
Communicat ,0,three,m
PersonalSo ,0.0159,three,m
